"conversation_id_str;""created_at"";""favorite_count"";""full_text"";""id_str"";""image_url"";""in_reply_to_screen_name"";""lang"";""location"";""quote_count"";""reply_count"";""retweet_count"";""tweet_url"";""user_id_str"";""username""";;;
"1795024981799112905;""Mon May 27 09:31:20 +0000 2024"";""13"";""Setelah dipanggil Presiden Jokowi Nadiem Makarim umumin UKT batal naik tahun ini. Bagus dan kawal .. https://t.co/NWeNbelmPK"";""1795024981799112905"";""https://pbs.twimg.com/amplify_video_thumb/1795018463192424448/img/zFYSaBlysh7NhLEu.jpg"";"""";""in"";""💕"";""0"";""5"";""1"";""https://x.com/NyaiiBubu/status/1795024981799112905"";""1219890224936783874"";""NyaiiBubu""";;;
"1666647486340161537;""Thu Jun 08 03:25:00 +0000 2023"";""16194"";""‍ temen sender ngeluh anak pns dapet ukt tertinggi terus dia nanti kerjanya gamau jadi pns biar bisa ngajuin kip-k https://t.co/ohiswCuTwb"";""1666647486340161537"";""https://pbs.twimg.com/media/FyEeGSJagAAgyQp.jpg"";"""";""in"";""RULES 👉"";""1013"";""984"";""697"";""https://x.com/sbmptnfess/status/1666647486340161537"";""1205629250423779328"";""sbmptnfess""";;;
"1795779577417187593;""Wed May 29 11:29:49 +0000 2024"";""8"";""info terbaru UKT &amp";" IPI UGM #studytwt ️https://t.co/rKBjQFuHPZ https://t.co/lAcVvHFyfc"";""1795779577417187593"";""https://pbs.twimg.com/media/GOvkAWsaYAEiy5g.jpg"";"""";""in"";""gapyear "";""0"";""2"";""2"";""https://x.com/chocopiee3_/status/1795779577417187593"";""1406065635545604096"";""chocopiee3_""";;
"1342746816098406400;""Sat Dec 26 08:19:22 +0000 2020"";""13191"";""[cm] kondisi keluargaku saat ini doain ya spy bs bayar ukt januari https://t.co/OpQwSBvNVD"";""1342746816098406400"";""https://pbs.twimg.com/media/EqJlHPpUwAE5Mca.jpg"";"""";""in"";"""";""199"";""759"";""1000"";""https://x.com/collegemenfess/status/1342746816098406400"";""1046084008742801408"";""collegemenfess""";;;
"1796322780612571339;""Thu May 30 23:28:19 +0000 2024"";""5"";""International Business Communication S2 di Prancis. EUR 3 590 per tahun. Mungkin kalo dirupiahkan 60 juta per tahun. Bukan per semester ya. Kalo ada yg UKT segini udah gaes mending sekalian aja kuliah di LN ️ https://t.co/DacQEwUVbJ"";""1796322780612571339"";""https://pbs.twimg.com/media/GO3SCdPbkAA4KNb.jpg"";"""";""in"";""Kota M"";""1"";""3"";""0"";""https://x.com/brigitta_hadid/status/1796322780612571339"";""1274745313144631297"";""brigitta_hadid""";;;
"1784097975591202904;""Sat Apr 27 05:51:18 +0000 2024"";""18500"";""Jurusan PGSD bayar UKT 45 juta setelah lulus gajinya 250k"";""1784097975591202904"";"""";"""";""in"";""imamnya @tucarino_"";""423"";""362"";""5671"";""https://x.com/KemenperinRI/status/1784097975591202904"";""1030789552867139584"";""KemenperinRI""";;;
"1795272721020186780;""Tue May 28 01:55:45 +0000 2024"";""3"";""POLEMIK UKT: SUARA KAMPUS DAN MIMPI INDONESIA MASA DEPAN Saksikan &amp";" jangan lewatkan Gelora Talks edisi #130 ini Rabu 29 Mei 2024 Pukul 15.30 WIB LIVE STREAMING ▶️ #GeloraTV https://t.co/6XOnLfCdNl ▶️ Facebook https://t.co/W4Yn36fiMT @anismatta @Fahrihamzah https://t.co/pb8QSUSHKL"";""1795272721020186780"";""https://pbs.twimg.com/ext_tw_video_thumb/1795272648899137536/pu/img/VOWMfCDNuIYnn0D_.jpg"";"""";""in"";""Indonesia"";""0"";""0"";""3"";""https://x.com/partaigeloraid/status/1795272721020186780"";""1179718333605658624"";""partaigeloraid""";;
"1795607235206561993;""Wed May 29 00:05:00 +0000 2024"";""15"";""Ptn! Semoga UGM menghapus IPI dan ngurangin biaya ukt (Minimal bngt harus hapus IPI sihh) Aamiin. SEMANGAT PEJUANG PTN &amp";" UM UGM https://t.co/qQtEa3D0Rz"";""1795607235206561993"";""https://pbs.twimg.com/media/GOtGc9pasAA6Ssh.jpg"";"""";""in"";""RULES 👉"";""0"";""0"";""1"";""https://x.com/sbmptnfess/status/1795607235206561993"";""1205629250423779328"";""sbmptnfess""";;
"1794723916445016357;""Sun May 26 13:35:00 +0000 2024"";""49"";""ptn! halo smup unpad bisa pake kip-k ga ya? ukt + uang pakal dll ke cover semua kah? https://t.co/YjzBBndMv0"";""1794723916445016357"";""https://pbs.twimg.com/media/GOgizPcbMAErbYt.jpg"";"""";""in"";""RULES 👉"";""2"";""9"";""2"";""https://x.com/sbmptnfess/status/1794723916445016357"";""1205629250423779328"";""sbmptnfess""";;;
"1666763250627928067;""Thu Jun 08 11:05:00 +0000 2023"";""15050"";""‍ tipe tipe reaksi anak pns ketika penetapan ukt: https://t.co/acnc6e33QZ"";""1666763250627928067"";""https://pbs.twimg.com/media/FyGHVIbaQAEWhqF.jpg"";"""";""in"";""RULES 👉"";""597"";""466"";""827"";""https://x.com/sbmptnfess/status/1666763250627928067"";""1205629250423779328"";""sbmptnfess""";;;
"1287906461746491392;""Tue Jul 28 00:23:23 +0000 2020"";""3622"";""[cm] no salty plissss aku bener2 butuh buat bayar cicilan ukt https://t.co/glArqbu4hH"";""1287906461746491392"";""https://pbs.twimg.com/media/Ed-QGf-UEAAQuZ9.jpg"";"""";""in"";"""";""24"";""324"";""405"";""https://x.com/collegemenfess/status/1287906461746491392"";""1046084008742801408"";""collegemenfess""";;;
"1797471543817302210;""Mon Jun 03 03:33:06 +0000 2024"";""2"";""BEM UNS Minta Mahasiswa Tetap Kawal Isu Kenaikan UKT dan IPI hingga Tahun Depan https://t.co/SUo6Daq1P9 #TempoNasional"";""1797471543817302210"";"""";"""";""in"";""Indonesia"";""0"";""0"";""0"";""https://x.com/tempodotco/status/1797471543817302210"";""18129942"";""tempodotco""";;;
"1686673678350860288;""Wed Aug 02 09:41:56 +0000 2023"";""7890"";""[cm] Waktunya Indonesia Bagian Bayar UKT https://t.co/mLQ4iLoDyx"";""1686673678350860288"";""https://pbs.twimg.com/media/F2hExUJbkAACl9C.jpg"";"""";""in"";"""";""342"";""367"";""1124"";""https://x.com/collegemenfess/status/1686673678350860288"";""1046084008742801408"";""collegemenfess""";;;
"1290896359243968512;""Wed Aug 05 06:24:10 +0000 2020"";""2743"";""[cm] guys semoga ada titik terang untuk ukt kita semua https://t.co/KUN60aihs8"";""1290896359243968512"";""https://pbs.twimg.com/media/EeovZcFU8AA50sJ.jpg"";"""";""in"";"""";""122"";""218"";""425"";""https://x.com/collegemenfess/status/1290896359243968512"";""1046084008742801408"";""collegemenfess""";;;
"1795077313102586170;""Mon May 27 12:59:17 +0000 2024"";""15"";""never beating the sugar d4ddy and sugar b4by allegations. Pak Bos siap bayar UKT Hoku https://t.co/HOFjgBu23k"";""1795077313102586170"";""https://pbs.twimg.com/media/GOllTPubAAAiMv3.jpg"";"""";""in"";""⛔ no minor. NSFW "";""0"";""0"";""4"";""https://x.com/allmajender/status/1795077313102586170"";""1041636358580662272"";""allmajender""";;;
"1795770118682861946;""Wed May 29 10:52:14 +0000 2024"";""13"";""ukt ub aja batal naik masa um! engga? yuk bisa yuk um https://t.co/PvnypFaymw"";""1795770118682861946"";""https://pbs.twimg.com/media/GOvbZ0wbMAEHgy2.jpg"";"""";""in"";""pp/krim fess? cek link‼️😠👉🏻"";""0"";""4"";""0"";""https://x.com/um_fess/status/1795770118682861946"";""740762250613399552"";""um_fess""";;;
"1790333758023066065;""Tue May 14 10:50:05 +0000 2024"";""11562"";"" guys bantu up sampe trending. Ukt ptn jalur snbp tembus sampe 2 digit. Kenaikan ukt drastis banget dan semua maba24 pada keberatan padahal gaji ortu ga banyak tapi dapet golongan ukt tinggi. Kawal terus inisial almet biru dongker https://t.co/Xx8ThIqeuY"";""1790333758023066065"";""https://pbs.twimg.com/media/GNiLD_Gb0AAo8Cd.jpg"";"""";""in"";""Indonesia"";""1207"";""850"";""1889"";""https://x.com/tanyakanrl/status/1790333758023066065"";""1331650559518990336"";""tanyakanrl""";;;
